"Object Category","Effect Category","Lookup test","Root link:","https://en.wikipedia.org/wiki/Category:Science_by_century","Categorization:","https://en.wikipedia.org/wiki/Category:Technology_by_type","","","","","","","","","","","","","","","","","","",""
"_Technology","","","","","","","","","","","","","","","","","","","","","","","","",""
"Emerging","life","life","","","","","","","","","","","","","","","","","","","","","","",""
"Aerospace","travel","travel","","","","","","","","","","","","","","","","","","","","","","",""
"Agricultural","food","food","","","","","","","","","","","","","","","","","","","","","","",""
"Assistive","help","help","","","","","","","","","","","","","","","","","","","","","","",""
"Bank","economy","economy","","","","","","","","","","","","","","","","","","","","","","",""
"Bio","life","life","","","","","","","","","","","","","","","","","","","","","","",""
"Building","construction","construction","","","","","","","","","","","","","","","","","","","","","","",""
"Cooling","food","food","","","","","","","","","","","","","","","","","","","","","","",""
"Drilling","construction","construction","","","","","","","","","","","","","","","","","","","","","","",""
"Education","education","education","","","","","","","","","","","","","","","","","","","","","","",""
"Energy","energy","energy","","","","","","","","","","","","","","","","","","","","","","",""
"Engine","travel","travel","","","","","","","","","","","","","","","","","","","","","","",""
"Environment","environment","environment","","","","","","","","","","","","","","","","","","","","","","",""
"Film","entertainment","entertainment","","","","","","","","","","","","","","","","","","","","","","",""
"Financial","economy","economy","","","","","","","","","","","","","","","","","","","","","","",""
"Fluid","travel","travel","","","","","","","","","","","","","","","","","","","","","","",""
"Food","food","food","","","","","","","","","","","","","","","","","","","","","","",""
"Gambling","entertainment","entertainment","","","","","","","","","","","","","","","","","","","","","","",""
"Gas","energy","energy","","","","","","","","","","","","","","","","","","","","","","",""
"Geographic","economy","economy","","","","","","","","","","","","","","","","","","","","","","",""
"Haptic","education","education","","","","","","","","","","","","","","","","","","","","","","",""
"Communication","travel","travel","","","","","","","","","","","","","","","","","","","","","","",""
"Infrared","life","life","","","","","","","","","","","","","","","","","","","","","","",""
"Medical","life","life","","","","","","","","","","","","","","","","","","","","","","",""
"Micro","construction","construction","","","","","","","","","","","","","","","","","","","","","","",""
