"Type ","Effect _OLD_","Effect Text ","Power ","Wits Ability ","Category ","Only for People? ","Effect Syntax ","","","","","","","","","","","","","","","","","",""
"","_object","filter the top 3 cards of your deck for an object","3","","","","filter:3 t:object","","","","","","","","","","","","","","","","","",""
"","_weapon","filter the top 3 cards of your deck for a weapon","1","","","","filter:3 t:weapon","","","","","","","","","","","","","","","","","",""
"","_DESTROY_","","","","","","","","","","","","","","","","","","","","","","","",""
"","destroy","destroy an object","4","","war","","destroy:object","","","","","","","","","","","","","","","","","",""
"","fight","end a person with lesser power","2","","","","destroy:person comp:p","","","","","","","","","","","","","","","","","",""
"","shoot","end a person","4","","war","","destroy:person","","","","","","","","","","","","","","","","","",""
"","murder","end a person","4","","","","destroy:person","","","","","","","","","","","","","","","","","",""
"","poison","end a person","4","","","","destroy:person","","","","","","","","","","","","","","","","","",""
"","convert","gain control of a person","5","y","politics","","steal:person","","","","","","","","","","","","","","","","","",""
"","steal","gain control of an object","5","y","war","","steal:object","","","","","","","","","","","","","","","","","",""
"","_CARD ADVANTAGE_","","","","","","","","","","","","","","","","","","","","","","","",""
"","navigate","look at the top card of your deck, you may put it under the deck","1","","travel","","scry:1","","","","","","","","","","","","","","","","","",""
"","manage","look at the top card of your deck, you may put it under the deck","1","","politics","","scry:1","","","","","","","","","","","","","","","","","",""
"","research","look at the top card of your deck, you may put it under the deck","1","y","education","","scry:1","","","","","","","","","","","","","","","","","",""
"","rally","filter the top 3 cards of your deck for a person","3","","politics","","filter:3 t:person","","","","","","","","","","","","","","","","","",""
"","construct","filter the top 3 cards of your deck for an object","2","y","construction","","filter:3 t:object","","","","","","","","","","","","","","","","","",""
"","invent","filter the top 5 cards of your deck for an object","2","y","education","","filter:5 t:object","","","","","","","","","","","","","","","","","",""
"","trade","pay [R][R][R] to draw a card","3","y","economy","","draw:1 cost:rrr","","","","","","","","","","","","","","","","","",""
"","craft","you may sacrifice a resource to draw 2 cards","2","y","construction","","draw:2 cost:R","","","","","","","","","","","","","","","","","",""
